Wavelength (nm),Sum(calc),Si I (3.4e-1),Si II (6.6e-1),Si III (3.0e-5)
218.78,1.702e-18,2.049e-12,3.356e-15,1.702e-18
218.81,1.224e-17,2.017e-12,3.324e-15,1.224e-17
218.83,4.196e-17,1.995e-12,3.302e-15,4.196e-17
218.86,2.351e-16,1.962e-12,3.270e-15,2.351e-16
218.88,6.825e-16,1.941e-12,3.249e-15,6.825e-16
218.91,2.979e-15,1.908e-12,3.217e-15,2.979e-15
218.93,7.321e-15,1.886e-12,3.195e-15,7.321e-15
218.96,2.489e-14,1.854e-12,3.163e-15,2.489e-14
218.98,5.179e-14,1.832e-12,3.142e-15,5.179e-14
219.01,1.372e-13,1.799e-12,3.110e-15,1.372e-13
219.03,2.416e-13,1.778e-12,3.088e-15,2.416e-13
219.05,3.982e-13,1.756e-12,3.067e-15,3.982e-13
219.08,7.435e-13,1.723e-12,3.035e-15,7.435e-13
219.1,1.037e-12,1.702e-12,3.013e-15,1.037e-12
219.13,1.509e-12,1.669e-12,2.981e-15,1.509e-12
219.15,1.782e-12,1.647e-12,2.960e-15,1.782e-12
219.18,2.019e-12,1.615e-12,2.928e-15,2.019e-12
219.2,2.019e-12,1.593e-12,2.906e-15,2.019e-12
219.23,1.782e-12,1.561e-12,2.874e-15,1.782e-12
219.25,1.509e-12,1.539e-12,2.853e-15,1.509e-12
219.28,1.037e-12,1.506e-12,2.821e-15,1.037e-12
219.3,7.435e-13,1.485e-12,2.799e-15,7.435e-13
219.33,3.982e-13,1.452e-12,2.767e-15,3.982e-13
219.35,2.416e-13,1.430e-12,2.746e-15,2.416e-13
219.38,1.008e-13,1.398e-12,2.714e-15,1.008e-13
219.4,5.179e-14,1.376e-12,2.692e-15,5.179e-14
219.42,2.489e-14,1.354e-12,2.671e-15,2.489e-14
219.45,7.321e-15,1.322e-12,2.639e-15,7.321e-15
219.47,2.979e-15,1.300e-12,2.617e-15,2.979e-15
219.5,6.825e-16,1.268e-12,2.585e-15,6.825e-16
219.52,2.351e-16,1.246e-12,2.564e-15,2.351e-16
219.55,4.196e-17,1.213e-12,2.532e-15,4.196e-17
