Wavelength (nm),Sum(calc),K I (3.1e-2),K II (9.7e-1),K III (2.7e-11)
204.5,3.621e-4,,3.621e-4,
204.52,3.892e-4,,3.892e-4,
204.55,3.764e-4,,3.764e-4,
204.57,3.348e-4,,3.348e-4,
204.6,2.437e-4,,2.437e-4,
204.62,1.793e-4,,1.793e-4,
204.65,9.816e-5,,9.816e-5,
204.67,5.971e-5,,5.971e-5,
204.7,2.456e-5,,2.456e-5,
204.72,1.235e-5,,1.235e-5,
204.75,3.816e-6,,3.816e-6,
204.77,1.585e-6,,1.585e-6,
204.8,3.679e-7,,3.679e-7,
204.82,1.263e-7,,1.263e-7,
204.85,2.202e-8,,2.202e-8,
204.87,6.244e-9,,6.244e-9,
204.9,8.173e-10,,8.173e-10,
204.92,1.915e-10,,1.915e-10,
204.95,1.882e-11,,1.882e-11,
204.97,3.644e-12,,3.644e-12,
204.99,6.535e-13,,6.535e-13,
205.02,4.302e-14,,4.302e-14,
205.04,6.374e-15,,6.374e-15,
205.07,3.150e-16,,3.150e-16,
205.09,3.857e-17,,3.857e-17,
205.12,1.432e-18,,1.432e-18,
205.14,1.448e-19,,1.448e-19,
205.17,4.036e-21,,4.036e-21,
205.19,3.569e-23,,3.569e-23,
207.02,5.850e-22,,5.850e-22,
207.04,6.522e-21,,6.522e-21,
207.07,2.112e-19,,2.112e-19,
207.09,1.956e-18,,1.956e-18,
207.12,4.797e-17,,4.797e-17,
207.14,3.690e-16,,3.690e-16,
207.16,2.636e-15,,2.636e-15,
207.19,4.378e-14,,4.378e-14,
207.21,2.598e-13,,2.598e-13,
207.24,3.267e-12,,3.267e-12,
207.26,1.610e-11,,1.610e-11,
207.29,1.533e-10,,1.533e-10,
207.31,6.278e-10,,6.278e-10,
207.34,4.526e-9,,4.526e-9,
207.36,1.539e-8,,1.539e-8,
207.39,8.403e-8,,8.403e-8,
207.41,2.374e-7,,2.374e-7,
207.44,9.812e-7,,9.812e-7,
207.46,2.303e-6,,2.303e-6,
207.49,7.207e-6,,7.207e-6,
207.51,1.405e-5,,1.405e-5,
207.54,3.331e-5,,3.331e-5,
207.56,5.399e-5,,5.399e-5,
207.59,9.706e-5,,9.706e-5,
207.61,1.311e-4,,1.311e-4,
207.64,1.804e-4,,1.804e-4,
207.66,2.060e-4,,2.060e-4,
207.69,2.280e-4,,2.280e-4,
207.71,2.354e-4,,2.354e-4,
207.74,2.515e-4,,2.515e-4,
207.76,2.765e-4,,2.765e-4,
207.79,3.435e-4,,3.435e-4,
207.81,4.014e-4,,4.014e-4,
207.84,4.795e-4,,4.795e-4,
207.86,5.060e-4,,5.060e-4,
207.89,4.857e-4,,4.857e-4,
207.91,4.331e-4,,4.331e-4,
207.94,3.184e-4,,3.184e-4,
207.96,2.368e-4,,2.368e-4,
207.99,1.329e-4,,1.329e-4,
208.01,8.338e-5,,8.338e-5,
208.04,3.905e-5,,3.905e-5,
208.06,2.537e-5,,2.537e-5,
208.09,2.017e-5,,2.017e-5,
208.11,2.263e-5,,2.263e-5,
208.14,2.956e-5,,2.956e-5,
208.16,3.379e-5,,3.379e-5,
208.19,3.655e-5,,3.655e-5,
