Wavelength (nm),Sum(calc),Na I (4.5e-2),Na II (9.5e-1),Na III (3.4e-19)
260.81,2.601e-15,,2.601e-15,3.829e-54
260.83,6.051e-15,,6.051e-15,3.823e-54
260.86,1.966e-14,,1.966e-14,3.814e-54
260.88,4.069e-14,,4.069e-14,3.807e-54
260.91,1.109e-13,,1.109e-13,3.798e-54
260.93,2.041e-13,,2.041e-13,3.792e-54
260.95,3.583e-13,,3.583e-13,3.786e-54
260.98,7.634e-13,,7.634e-13,3.776e-54
261,1.192e-12,,1.192e-12,3.770e-54
261.03,2.130e-12,,2.130e-12,3.761e-54
261.05,2.958e-12,,2.958e-12,3.755e-54
261.08,4.433e-12,,4.433e-12,3.745e-54
261.1,5.475e-12,,5.475e-12,3.739e-54
261.13,6.882e-12,,6.882e-12,3.730e-54
261.15,7.559e-12,,7.559e-12,3.724e-54
261.18,7.969e-12,,7.969e-12,3.714e-54
261.2,7.784e-12,,7.784e-12,3.708e-54
261.23,6.882e-12,,6.882e-12,3.699e-54
261.25,5.979e-12,,5.979e-12,3.693e-54
261.28,4.433e-12,,4.433e-12,3.683e-54
261.3,3.425e-12,,3.425e-12,3.677e-54
261.33,2.130e-12,,2.130e-12,3.668e-54
261.35,1.464e-12,,1.464e-12,3.662e-54
261.37,9.595e-13,,9.595e-13,3.656e-54
261.4,4.665e-13,,4.665e-13,3.646e-54
261.42,2.720e-13,,2.720e-13,3.640e-54
261.45,1.109e-13,,1.109e-13,3.631e-54
261.47,5.750e-14,,5.750e-14,3.625e-54
261.5,1.966e-14,,1.966e-14,3.615e-54
261.52,9.068e-15,,9.068e-15,3.609e-54
261.55,2.601e-15,,2.601e-15,3.600e-54
261.57,1.067e-15,,1.067e-15,3.594e-54
261.6,2.566e-16,,2.566e-16,3.584e-54
261.62,9.357e-17,,9.357e-17,3.578e-54
261.65,1.888e-17,,1.888e-17,3.569e-54
261.67,6.123e-18,,6.123e-18,3.563e-54
261.7,1.036e-18,,1.036e-18,3.553e-54
261.72,2.989e-19,,2.989e-19,3.547e-54
261.75,4.241e-20,,4.241e-20,3.538e-54
261.77,1.088e-20,,1.088e-20,3.532e-54
261.79,2.664e-21,,2.664e-21,3.525e-54
261.82,2.955e-22,,2.955e-22,3.516e-54
261.84,6.433e-23,,6.433e-23,3.510e-54
261.87,5.984e-24,,5.984e-24,3.501e-54
261.89,1.159e-24,,1.159e-24,3.494e-54
261.92,9.041e-26,,9.041e-26,3.485e-54
261.94,1.557e-26,,1.557e-26,3.479e-54
261.97,1.019e-27,,1.019e-27,3.470e-54
261.99,1.560e-28,,1.560e-28,3.463e-54
265.25,1.223e-29,,1.223e-29,2.453e-54
265.28,2.072e-28,,2.072e-28,2.443e-54
265.3,1.292e-27,,1.292e-27,2.437e-54
265.33,1.849e-26,,1.849e-26,2.428e-54
265.35,1.030e-25,,1.030e-25,2.422e-54
265.38,1.243e-24,,1.243e-24,2.412e-54
265.4,6.185e-24,,6.185e-24,2.406e-54
265.43,6.304e-23,,6.304e-23,2.397e-54
265.45,2.801e-22,,2.801e-22,2.391e-54
265.48,2.410e-21,,2.410e-21,2.381e-54
265.5,9.564e-21,,9.564e-21,2.375e-54
265.52,3.628e-20,,3.628e-20,2.369e-54
265.55,2.462e-19,,2.462e-19,2.360e-54
265.57,8.341e-19,,8.341e-19,2.353e-54
265.6,4.779e-18,,4.779e-18,2.344e-54
265.62,1.446e-17,,1.446e-17,2.338e-54
265.65,6.993e-17,,6.993e-17,2.329e-54
265.67,1.890e-16,,1.890e-16,2.322e-54
265.7,7.714e-16,,7.714e-16,2.313e-54
265.72,1.862e-15,,1.862e-15,2.307e-54
265.75,6.417e-15,,6.417e-15,2.298e-54
265.77,1.383e-14,,1.383e-14,2.291e-54
265.8,4.024e-14,,4.024e-14,2.282e-54
265.82,7.749e-14,,7.749e-14,2.276e-54
265.85,1.902e-13,,1.902e-13,2.266e-54
265.87,3.272e-13,,3.272e-13,2.260e-54
265.9,6.781e-13,,6.781e-13,2.251e-54
265.92,1.042e-12,,1.042e-12,2.245e-54
265.94,1.530e-12,,1.530e-12,2.239e-54
265.97,2.500e-12,,2.500e-12,2.229e-54
265.99,3.279e-12,,3.279e-12,2.223e-54
266.02,4.525e-12,,4.525e-12,2.214e-54
266.04,5.300e-12,,5.300e-12,2.208e-54
266.07,6.174e-12,,6.174e-12,2.198e-54
266.09,6.459e-12,,6.459e-12,2.192e-54
266.12,6.351e-12,,6.351e-12,2.183e-54
266.14,5.934e-12,,5.934e-12,2.177e-54
266.17,4.925e-12,,4.925e-12,2.167e-54
266.19,4.111e-12,,4.111e-12,2.161e-54
266.22,2.880e-12,,2.880e-12,2.152e-54
266.24,2.147e-12,,2.147e-12,2.146e-54
266.27,1.269e-12,,1.269e-12,2.136e-54
266.29,8.452e-13,,8.452e-13,2.130e-54
266.32,4.219e-13,,4.219e-13,2.121e-54
266.34,2.509e-13,,2.509e-13,2.115e-54
266.36,1.426e-13,,1.426e-13,2.108e-54
266.39,5.615e-14,,5.615e-14,2.099e-54
266.41,2.851e-14,,2.851e-14,2.093e-54
