Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.5e-1),Fe III (1.1e-4)
210.76,3.022e+2,,3.021e+2,1.762e-3
210.79,3.263e+2,,3.263e+2,1.390e-3
210.81,3.363e+2,,3.363e+2,1.089e-3
210.83,3.463e+2,,3.463e+2,7.974e-4
210.86,3.662e+2,,3.662e+2,4.441e-4
210.88,3.821e+2,,3.821e+2,2.800e-4
210.91,4.061e+2,,4.061e+2,1.286e-4
210.93,4.227e+2,,4.227e+2,7.345e-5
210.96,4.562e+2,,4.562e+2,3.068e-5
210.98,4.893e+2,,4.893e+2,1.693e-5
211.01,5.525e+2,,5.525e+2,6.780e-6
211.03,5.920e+2,,5.920e+2,3.579e-6
211.06,6.177e+2,,6.177e+2,1.289e-6
211.08,5.980e+2,,5.980e+2,6.454e-7
211.11,5.091e+2,,5.091e+2,3.506e-7
211.13,4.214e+2,,4.214e+2,4.698e-7
211.16,2.791e+2,,2.791e+2,1.208e-6
211.18,1.943e+2,,1.943e+2,2.276e-6
211.2,1.260e+2,,1.260e+2,4.050e-6
211.23,5.754e+1,,5.754e+1,8.517e-6
211.25,3.122e+1,,3.122e+1,1.289e-5
211.28,1.090e+1,,1.090e+1,2.128e-5
211.3,4.945e+0,,4.945e+0,2.743e-5
211.33,1.322e+0,,1.322e+0,3.564e-5
211.35,5.069e-1,,5.069e-1,3.921e-5
211.38,1.411e-1,,1.410e-1,4.029e-5
211.4,1.502e-1,,1.502e-1,3.814e-5
211.43,5.472e-1,,5.472e-1,3.243e-5
211.45,1.373e+0,,1.373e+0,2.900e-5
211.48,4.828e+0,,4.828e+0,2.918e-5
211.5,1.022e+1,,1.022e+1,3.601e-5
211.53,2.752e+1,,2.752e+1,6.109e-5
211.55,4.872e+1,,4.872e+1,8.896e-5
211.58,1.004e+2,,1.004e+2,1.444e-4
211.6,1.487e+2,,1.487e+2,1.848e-4
211.62,2.050e+2,,2.050e+2,2.211e-4
211.65,2.904e+2,,2.904e+2,2.548e-4
211.67,3.349e+2,,3.349e+2,2.584e-4
211.7,3.630e+2,,3.630e+2,2.380e-4
211.72,3.502e+2,,3.502e+2,2.149e-4
211.75,2.904e+2,,2.904e+2,1.837e-4
211.77,2.344e+2,,2.344e+2,1.727e-4
211.8,1.487e+2,,1.487e+2,1.734e-4
211.82,1.004e+2,,1.004e+2,1.804e-4
211.85,4.872e+1,,4.872e+1,1.868e-4
211.87,2.752e+1,,2.752e+1,1.816e-4
211.9,1.022e+1,,1.022e+1,1.561e-4
211.92,4.828e+0,,4.828e+0,1.300e-4
211.95,1.372e+0,,1.372e+0,8.676e-5
211.97,5.422e-1,,5.421e-1,6.069e-5
211.99,1.996e-1,,1.995e-1,3.955e-5
212.02,3.898e-2,,3.896e-2,1.821e-5
212.04,1.200e-2,,1.199e-2,9.939e-6
212.07,1.796e-3,,1.792e-3,3.527e-6
212.09,4.643e-4,,4.626e-4,1.667e-6
212.12,6.355e-5,,6.285e-5,6.981e-7
212.14,5.233e-5,,5.156e-5,7.683e-7
212.17,2.824e-4,,2.806e-4,1.831e-6
212.19,9.362e-4,,9.328e-4,3.414e-6
212.22,4.981e-3,,4.973e-3,7.766e-6
212.24,1.391e-2,,1.389e-2,1.232e-5
212.27,5.683e-2,,5.681e-2,2.153e-5
212.29,1.330e-1,,1.329e-1,2.860e-5
