wl,A,E,g,,,,,,,,,,,
407.832, ,32 235.239 ,3.5,,,,,,,,,,,
407.852, ,31 966.748 ,2.5,,,,,,,,,,,
408.044,6.70E+06,27 379.949 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
408.122, ,28 349.582 ,3.5,,,,,,,,,,, 
408.323,6.20E+07,30 134.910 ,5.5,,,,,,,,,,,
408.523,2.81E+07,29 908.904 ,4.5,,,,,,,,,,,
408.736,7.50E+06,28 725.148 ,4.5,,,,,,,,,,,
408.885,1.75E+07,30 166.057 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
410.177,3.14E+07,31 340.393 ,6.5,,,,,,,,,,, 
410.5, ,32 885.367 ,2.5,,,,,,,,,,,
410.742,2.89E+07,28 334.756 ,4.5,,,,,,,,,,,
411.038, ,33 111.163 ,3.5,,,,,,,,,,,
411.139,1.46E+07,30 134.910 ,5.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
411.537, ,31 747.243 ,1.5,,,,,,,,,,, 
411.701, ,35 298.190 ,2.5,,,,,,,,,,,
411.729,1.39E+07,30 245.878 ,4.5,,,,,,,,,,,
411.759, ,34 920.788 ,3.5,,,,,,,,,,,
411.814,6.60E+07,29 892.677 ,3.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
411.902,1.47E+07,28 730.712 ,3.5,,,,,,,,,,, 
411.979, ,33 040.353 ,4.5,,,,,,,,,,,
411.988,1.87E+07,26 900.354 ,3.5,,,,,,,,,,,
411.988,2.30E+06,28 725.148 ,4.5,,,,,,,,,,,
412.083,1.66E+07,26 841.384 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
412.324,1.58E+07,30 065.164 ,3.5,,,,,,,,,,, 
412.349, ,31 966.748 ,2.5,,,,,,,,,,,
412.387,6.80E+07,31 155.623 ,6.5,,,,,,,,,,,
412.479,2.57E+07,29 750.547 ,5.5,,,,,,,,,,,
412.737,7.90E+07,29 735.413 ,4.5,,,,,,,,,,,
 , , ,#VALUE!,,,,,,,,,,,
412.774,2.24E+07,28 730.712 ,3.5,,,,,,,,,,, 
412.807,1.18E+07,27 811.496 ,3.5,,,,,,,,,,,
