Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
208.2517,6.997e-110,,,6.997e-110
208.2518,5.449e-111,,,5.449e-111
208.252,2.917e-113,,,2.917e-113
208.2522,1.323e-115,,,1.323e-115
208.2523,8.372e-117,,,8.372e-117
208.2525,2.960e-119,,,2.960e-119
208.2527,8.863e-122,,,8.863e-122
208.2529,2.248e-124,,,2.248e-124
208.253,1.064e-125,,,1.064e-125
208.2532,2.104e-128,,,2.104e-128
208.2534,3.523e-131,,,3.523e-131
208.2536,4.998e-134,,,4.998e-134
208.2537,1.769e-135,,,1.769e-135
208.2539,1.956e-138,,,1.956e-138
208.2541,1.832e-141,,,1.832e-141
208.2542,5.269e-143,,,5.269e-143
208.2544,3.847e-146,,,3.847e-146
208.2546,2.379e-149,,,2.379e-149
208.2548,1.246e-152,,,1.246e-152
208.2549,2.681e-154,,,2.681e-154
208.2551,1.095e-157,,,1.095e-157
208.2553,3.787e-161,,,3.787e-161
208.2554,6.618e-163,,,6.618e-163
208.2556,1.785e-166,,,1.785e-166
208.2558,4.076e-170,,,4.076e-170
208.256,7.885e-174,,,7.885e-174
208.2561,1.031e-175,,,1.031e-175
208.2563,1.554e-179,,,1.554e-179
208.2565,1.985e-183,,,1.985e-183
208.2567,2.148e-187,,,2.148e-187
208.2568,2.100e-189,,,2.100e-189
208.257,1.771e-193,,,1.771e-193
208.2572,1.265e-197,,,1.265e-197
208.2573,1.005e-199,,,1.005e-199
208.2575,5.597e-204,,,5.597e-204
208.2577,2.640e-208,,,2.640e-208
208.2579,1.055e-212,,,1.055e-212
208.258,6.266e-215,,,6.266e-215
208.2582,1.952e-219,,,1.952e-219
208.2584,5.149e-224,,,5.149e-224
208.2586,1.151e-228,,,1.151e-228
208.2587,5.112e-231,,,5.112e-231
208.2589,8.905e-236,,,8.905e-236
208.2591,1.314e-240,,,1.314e-240
208.2592,4.743e-243,,,4.743e-243
208.2594,5.456e-248,,,5.456e-248
208.2596,5.316e-253,,,5.316e-253
208.2598,4.387e-258,,,4.387e-258
208.2599,1.184e-260,,,1.184e-260
208.2601,7.618e-266,,,7.618e-266
208.2603,4.151e-271,,,4.151e-271
208.2604,9.106e-274,,,9.106e-274
