Wavelength (nm),Sum(calc),Al I (2.4e-2),Al II (4.8e-1),Al III (3.5e-4),Cr I (1.4e-2),Cr II (4.8e-1)
207.333,9.170e-13,,2.844e-34,9.170e-13,,8.350e-34
207.335,7.725e-12,,3.896e-32,7.725e-12,,8.374e-34
207.337,5.620e-11,,4.608e-30,5.620e-11,,8.397e-34
207.338,1.435e-10,,4.743e-29,1.435e-10,,8.409e-34
207.34,8.382e-10,,4.501e-27,8.382e-10,,8.433e-34
207.342,4.231e-9,,3.687e-25,4.231e-9,,8.456e-34
207.343,9.000e-9,,3.159e-24,9.000e-9,,8.468e-34
207.345,3.652e-8,,2.076e-22,3.652e-8,,8.492e-34
207.347,1.282e-7,,1.178e-20,1.282e-7,,8.515e-34
207.348,2.276e-7,,8.402e-20,2.276e-7,,8.527e-34
207.35,6.443e-7,,3.826e-18,6.443e-7,,8.551e-34
207.352,1.583e-6,,1.504e-16,1.583e-6,,8.574e-34
207.353,2.353e-6,,8.925e-16,2.353e-6,,8.586e-34
207.355,4.692e-6,,2.815e-14,4.692e-6,,8.609e-34
207.357,8.168e-6,,7.666e-13,8.168e-6,,8.633e-34
207.358,1.026e-5,,3.786e-12,1.026e-5,,8.645e-34
207.36,1.468e-5,,8.272e-11,1.468e-5,,8.668e-34
207.362,1.853e-5,,1.560e-9,1.853e-5,,8.692e-34
207.363,1.991e-5,,6.414e-9,1.990e-5,,8.704e-34
207.365,2.111e-5,,9.708e-8,2.101e-5,,8.727e-34
207.367,2.104e-5,,1.269e-6,1.977e-5,,8.751e-34
