Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (1.1e-1),Fe II (6.0e-1),Fe III (8.0e-5),Ni I (2.3e-2),Ni II (7.1e-2),Ni III (2.4e-6)
204.1,2.445e+3,,,,2.445e+3,2.715e-4,2.879e-22,,
204.12,1.730e+3,,,,1.730e+3,1.825e-4,2.724e-22,,
204.13,1.364e+3,,,,1.364e+3,1.416e-4,2.646e-22,,
204.15,7.447e+2,,,,7.447e+2,7.624e-5,2.491e-22,,
204.17,3.421e+2,,,,3.421e+2,3.526e-5,2.335e-22,,
204.18,2.173e+2,,,,2.173e+2,2.265e-5,2.257e-22,,
204.2,7.700e+1,,,,7.700e+1,8.430e-6,2.102e-22,,
204.22,2.296e+1,,,,2.296e+1,3.157e-6,1.946e-22,,
204.23,1.175e+1,,,,1.175e+1,2.399e-6,1.702e-21,,
204.25,2.702e+0,,,,2.702e+0,3.416e-6,1.145e-19,,
204.27,5.228e-1,,,,5.228e-1,8.218e-6,6.483e-18,,
204.28,2.156e-1,,,,2.156e-1,1.279e-5,4.575e-17,,
204.3,3.221e-2,,,,3.218e-2,2.921e-5,2.002e-15,,
204.31,1.170e-2,,,,1.165e-2,4.273e-5,1.242e-14,,
204.33,1.428e-3,,,,1.342e-3,8.535e-5,4.202e-13,,
204.35,2.845e-4,,,,1.301e-4,1.544e-4,1.197e-11,,
204.36,2.374e-4,,,,3.795e-5,1.995e-4,5.991e-11,,
204.38,3.096e-4,,,,2.837e-6,3.068e-4,1.319e-9,,
204.4,4.235e-4,,,,1.785e-7,4.233e-4,2.446e-8,,
204.41,4.790e-4,,,,4.194e-8,4.788e-4,9.877e-8,,
204.43,5.754e-4,,,,2.035e-9,5.740e-4,1.416e-6,,
204.45,6.571e-4,,,,8.309e-11,6.400e-4,1.708e-5,,
204.46,7.158e-4,,,,1.573e-11,6.602e-4,5.565e-5,,
204.48,1.190e-3,,,,4.956e-13,6.712e-4,5.191e-4,,
204.5,4.716e-3,,,,1.313e-14,6.376e-4,4.078e-3,,
204.51,1.132e-2,,,,2.003e-15,6.040e-4,1.072e-2,,
204.53,6.558e-2,,,,4.095e-17,5.105e-4,6.507e-2,,
204.55,3.331e-1,,,,7.043e-19,4.012e-4,3.327e-1,,
204.56,7.058e-1,,,,8.656e-20,3.479e-4,7.054e-1,,
204.58,2.788e+0,,,,1.286e-21,2.527e-4,2.788e+0,,
204.6,9.278e+0,,,,1.079e-20,1.755e-4,9.278e+0,,
