Wavelength (nm),Sum(calc),Mn I (1.1e-1),Mn II (8.9e-1)
204.07,2.302e+3,,2.302e+3
204.1,1.410e+3,,1.410e+3
204.12,9.237e+2,,9.237e+2
204.15,4.240e+2,,4.240e+2
204.17,2.292e+2,,2.292e+2
204.2,7.886e+1,,7.886e+1
204.22,3.517e+1,,3.517e+1
204.24,1.453e+1,,1.453e+1
204.27,3.338e+0,,3.338e+0
204.29,1.138e+0,,1.138e+0
204.32,1.959e-1,,1.959e-1
204.34,5.508e-2,,5.508e-2
204.37,7.110e-3,,7.110e-3
204.39,1.649e-3,,1.649e-3
204.42,1.596e-4,,1.596e-4
204.44,3.055e-5,,3.055e-5
204.47,2.215e-6,,2.215e-6
204.49,3.498e-7,,3.498e-7
204.52,1.901e-8,,1.901e-8
204.54,2.478e-9,,2.478e-9
204.57,1.009e-10,,1.009e-10
204.59,1.085e-11,,1.085e-11
204.61,1.081e-12,,1.081e-12
204.64,2.939e-14,,2.939e-14
206.96,5.268e-15,,5.268e-15
206.98,5.881e-14,,5.881e-14
207.01,1.908e-12,,1.908e-12
207.03,1.770e-11,,1.770e-11
207.06,4.347e-10,,4.347e-10
207.08,3.348e-9,,3.348e-9
207.11,6.226e-8,,6.226e-8
207.13,3.983e-7,,3.983e-7
207.16,5.607e-6,,5.607e-6
207.18,2.979e-5,,2.979e-5
207.21,3.175e-4,,3.175e-4
207.23,1.401e-3,,1.401e-3
207.26,1.131e-2,,1.131e-2
207.28,4.145e-2,,4.145e-2
207.3,1.411e-1,,1.411e-1
207.33,7.708e-1,,7.708e-1
207.35,2.179e+0,,2.179e+0
207.38,9.013e+0,,9.013e+0
207.4,2.116e+1,,2.116e+1
207.43,6.627e+1,,6.627e+1
207.45,1.293e+2,,1.293e+2
207.48,3.064e+2,,3.064e+2
207.5,4.964e+2,,4.964e+2
207.53,8.906e+2,,8.906e+2
207.55,1.199e+3,,1.199e+3
207.58,1.628e+3,,1.628e+3
207.6,1.820e+3,,1.820e+3
207.63,1.871e+3,,1.871e+3
207.65,1.737e+3,,1.737e+3
207.68,1.352e+3,,1.352e+3
207.7,1.043e+3,,1.043e+3
207.72,7.466e+2,,7.466e+2
207.75,3.936e+2,,3.936e+2
207.77,2.341e+2,,2.341e+2
207.8,9.341e+1,,9.341e+1
207.82,4.615e+1,,4.615e+1
207.85,1.394e+1,,1.394e+1
207.87,5.720e+0,,5.720e+0
207.9,1.308e+0,,1.308e+0
207.92,4.458e-1,,4.458e-1
207.95,7.718e-2,,7.718e-2
207.97,2.185e-2,,2.185e-2
208,2.865e-3,,2.865e-3
208.02,6.822e-4,,6.822e-4
208.05,1.705e-4,,1.705e-4
208.07,4.997e-4,,4.997e-4
208.09,2.124e-3,,2.124e-3
208.12,1.683e-2,,1.683e-2
208.14,6.104e-2,,6.104e-2
208.17,3.673e-1,,3.673e-1
208.19,1.108e+0,,1.108e+0
208.22,5.060e+0,,5.060e+0
208.24,1.270e+1,,1.270e+1
208.27,4.400e+1,,4.400e+1
208.29,9.187e+1,,9.187e+1
208.32,2.415e+2,,2.415e+2
208.34,4.195e+2,,4.195e+2
208.37,8.365e+2,,8.365e+2
208.39,1.209e+3,,1.209e+3
208.42,1.829e+3,,1.829e+3
208.44,2.199e+3,,2.199e+3
208.47,2.524e+3,,2.524e+3
208.49,2.524e+3,,2.524e+3
208.51,2.345e+3,,2.345e+3
208.54,1.829e+3,,1.829e+3
208.56,1.414e+3,,1.414e+3
208.59,8.366e+2,,8.366e+2
208.61,5.382e+2,,5.382e+2
208.64,2.430e+2,,2.430e+2
208.66,1.329e+2,,1.329e+2
208.69,5.635e+1,,5.635e+1
208.71,4.436e+1,,4.436e+1
208.74,6.649e+1,,6.649e+1
208.76,1.045e+2,,1.045e+2
208.79,1.936e+2,,1.936e+2
208.81,2.688e+2,,2.688e+2
208.84,3.842e+2,,3.842e+2
208.86,4.449e+2,,4.449e+2
208.88,4.788e+2,,4.788e+2
208.91,4.658e+2,,4.658e+2
208.93,4.173e+2,,4.173e+2
208.96,3.083e+2,,3.083e+2
208.98,2.299e+2,,2.299e+2
209.01,1.291e+2,,1.291e+2
209.03,8.013e+1,,8.013e+1
209.06,3.416e+1,,3.416e+1
209.08,1.766e+1,,1.766e+1
209.11,5.718e+0,,5.718e+0
209.13,2.460e+0,,2.460e+0
209.16,6.052e-1,,6.052e-1
209.18,2.168e-1,,2.168e-1
209.21,4.050e-2,,4.050e-2
209.23,1.208e-2,,1.208e-2
209.25,3.347e-3,,3.347e-3
209.28,4.301e-4,,4.301e-4
209.3,1.229e-4,,1.229e-4
209.33,2.748e-4,,2.748e-4
209.35,1.180e-3,,1.180e-3
209.38,9.628e-3,,9.628e-3
209.4,3.566e-2,,3.566e-2
209.43,2.217e-1,,2.217e-1
209.45,6.846e-1,,6.846e-1
209.48,3.241e+0,,3.241e+0
209.5,8.343e+0,,8.343e+0
209.53,3.007e+1,,3.007e+1
209.55,6.453e+1,,6.453e+1
209.58,1.770e+2,,1.770e+2
209.6,3.168e+2,,3.168e+2
209.63,6.617e+2,,6.617e+2
209.65,9.872e+2,,9.872e+2
209.67,1.369e+3,,1.369e+3
209.7,1.952e+3,,1.952e+3
209.72,2.258e+3,,2.258e+3
209.75,2.450e+3,,2.450e+3
209.77,2.363e+3,,2.363e+3
209.8,1.952e+3,,1.952e+3
209.82,1.570e+3,,1.570e+3
209.85,9.872e+2,,9.872e+2
209.87,6.617e+2,,6.617e+2
209.9,3.168e+2,,3.168e+2
209.92,1.771e+2,,1.771e+2
209.95,6.483e+1,,6.483e+1
209.97,3.092e+1,,3.092e+1
210,1.194e+1,,1.194e+1
210.02,1.182e+1,,1.182e+1
210.04,2.019e+1,,2.019e+1
210.07,5.506e+1,,5.506e+1
210.09,1.015e+2,,1.015e+2
210.12,2.229e+2,,2.229e+2
210.14,3.442e+2,,3.442e+2
210.17,5.765e+2,,5.765e+2
