Wavelength (nm),Sum(calc),Mg I (1.1e-1),Mg II (8.9e-1),Mg III (5.4e-4)
205.583,2.460e-34,1.059e-94,,2.460e-34
205.584,5.422e-35,1.059e-94,,5.422e-35
205.586,2.317e-36,1.060e-94,,2.317e-36
205.588,8.351e-38,1.060e-94,,8.351e-38
205.589,1.487e-38,1.061e-94,,1.487e-38
205.591,4.151e-40,1.062e-94,,4.151e-40
205.593,9.772e-42,1.062e-94,,9.772e-42
205.594,1.406e-42,1.063e-94,,1.406e-42
205.596,2.564e-44,1.063e-94,,2.564e-44
205.598,3.941e-46,1.064e-94,,3.941e-46
205.599,4.584e-47,1.064e-94,,4.584e-47
205.601,5.458e-49,1.065e-94,,5.458e-49
205.603,5.480e-51,1.066e-94,,5.480e-51
205.604,5.151e-52,1.066e-94,,5.151e-52
205.606,4.005e-54,1.067e-94,,4.005e-54
205.608,2.626e-56,1.068e-94,,2.626e-56
205.609,1.995e-57,1.068e-94,,1.995e-57
205.611,1.013e-59,1.069e-94,,1.013e-59
205.613,4.338e-62,1.070e-94,,4.338e-62
205.614,2.663e-63,1.070e-94,,2.663e-63
205.616,8.832e-66,1.071e-94,,8.832e-66
205.618,2.470e-68,1.071e-94,,2.470e-68
205.619,1.225e-69,1.072e-94,,1.225e-69
205.621,2.654e-72,1.073e-94,,2.654e-72
