Ion, Observed , Rel. , Aki, Ek ,J
Fe I ,438.46719,520,5.40E+05,47 136.084  ,2
Fe I ,438.52493,209, ,47 136.084  ,2
 , , , , , 
Fe II ,438.5379,130,4.50E+05,45 206.4704 , 1/2 
Fe II ,438.6156,100, ,60 956.781  , 7/2 
Fe I ,438.78909,3240,3.46E+06,47 555.610  ,1
Fe I ,438.84065,5100,1.03E+07,51 837.238  ,3
Fe II , ,  ,2.10E-03,36 252.931  , 5/2 
 , , , , , 
Fe II ,438.92446, 500bl(Fe I) , ,113 370.112  , 1/2 
Fe I ,438.9245, 3240bl ,1.81E+03,23 192.500  ,2
Fe I ,439.04477,251,1.40E+05,46 889.142  ,4
Fe I ,439.0752,151, ,56 808.267  ,4
Fe I ,439.09502,5500,1.16E+06,47 106.484  ,4
 , , , , , 
Fe II ,439.1165, 40bl(Fe II)* , ,85 728.846  , 3/2 
Fe II ,439.1165, 40bl(Fe II)* , ,113 934.512  , 5/2 
Fe I ,439.1863,363,1.10E+06,54 449.347  ,1
Fe I ,439.2579,166,4.10E+05,54 066.518  ,4
Fe I ,439.3024,40, ,47 092.712  ,3
 , , , , , 
Fe I ,439.309,141, ,56 452.018  ,4
Fe II ,439.5137,25,1.00E+06,102 030.965  , 7/2 
Fe I ,439.52738,251,1.70E+06,52 214.345  ,1
Fe I ,439.5497,209, ,54 066.773  ,2
Fe III ,439.576, 500* , ,140 693.38   ,3
 , , , , , 
Fe III ,439.576, 500* , ,89 334.88   ,2
Fe II ,439.58141,33, ,113 230.351  , 3/2 
Fe II ,439.7912, 60bl(Ne) , ,72 238.564  , 5/2 
Fe II ,439.9803,16, ,113 370.112  , 1/2 
Fe I ,440.12896,2190,6.40E+06,51 770.557  ,3
 , , , , , 
Fe II ,440.14425, 400bl(Fe I) , ,106 018.682  , 9/2 
Fe I ,440.14426,950,8.18E+05,45 551.767  ,1
Fe III ,440.205,26, ,128 605.74   ,1
Fe II , ,  ,1.76E-02,31 387.9788 , 5/2 
Fe II ,440.2879,100,4.70E+05,72 212.989  , 1/2 
 , , , , , 
Fe I ,440.3175,162, ,59 390.684  ,3
Fe III ,440.415,62, ,128 605.74   ,1
Fe I ,440.47501,810000,2.75E+07,35 257.324  ,4
Fe I ,440.50187,1070,2.95E+02,23 110.939  ,3
Fe II , ,  ,5.20E-03,31 368.453  , 1/2 
 , , , , , 
Fe II ,440.66683,50, ,112 987.144  , 5/2 
Fe I ,440.7233,257, ,51 739.920  ,2
Fe I ,440.7657,158, ,47 017.188  ,3
Fe I ,440.77089,2690,7.30E+05,40 231.336  ,2
Fe I ,440.84132,3890,1.92E+06,40 404.518  ,1
 , , , , , 
Fe I ,440.91192,468,7.40E+05,49 297.635  ,1
Fe II ,440.95187,400, ,83 713.583  , 7/2 
Fe II , ,  ,5.60E-03,25 787.5816 , 3/2 
Fe II , ,  ,2.10E-03,36 126.412  , 3/2 
Fe II ,441.36,15,2.20E+03,44 232.5398 , 9/2 
 , , , , , 
Fe II ,441.3781, : ,8.50E-01,23 317.6351 , 5/2 
Fe I ,441.4931,151, ,53 966.662  ,2
Fe I ,441.51222,288000,1.19E+07,35 611.625  ,3
Fe II ,441.6268, : ,4.76E-01,22 637.1950 , 9/2 
Fe II ,441.6339, 20bl(Ne) , ,113 230.351  , 3/2 
 , , , , , 
Fe II ,441.6818, 130bl(Ne) ,2.10E+05,45 044.1916 , 3/2 
Fe I ,441.8419,138, ,46 744.993  ,3
Fe III ,441.9599,510,2.30E+05,89 085.20   ,3
Fe II ,442.099,14, ,107 298.265  , 5/2 
Fe I ,442.25678,12300,8.72E+06,45 551.767  ,1
 , , , , , 
Fe I ,442.31412,295,1.30E+05,46 720.842  ,4
Fe I ,442.38405,427,1.80E+06,52 067.469  ,2
Fe II ,442.3907,11, ,114 173.223  , 7/2 
Fe II ,442.4029,12, ,113 236.296  , 5/2 
Fe I ,442.4068,120,2.37E+05,51 969.101  ,3
 , , , , , 
Fe I ,442.41876,251, ,51 201.289  ,2
Fe V ,442.56,73,1.90E-01,52 732.6    ,3
Fe I ,442.5656,200, ,51 409.124  ,4
Fe I ,442.5752,89, ,48 928.388  ,2
Fe I , , m , ,52 049.823  ,2
 , , , , , 
Fe I ,442.73096,117000,3.41E+04,22 996.674  ,4
Fe II , ,  ,7.20E-03,36 252.931  , 5/2 
Fe I ,442.8567,110, ,54 379.384  ,3
Fe I ,442.9187,195, ,54 257.502  ,2
Fe I ,443.01888,1120,2.00E+06,46 901.832  ,1
 , , , , , 
Fe II ,443.04386,50, ,112 607.597  , 7/2 
Fe I ,443.06137,4170,7.45E+06,40 491.284  ,0
Fe III ,443.1015,190, ,89 085.20   ,3
Fe II ,443.2448, : ,6.00E-02,22 939.3512 , 5/2 
Fe I ,443.25675,810,8.40E+05,51 373.910  ,5
 , , , , , 
Fe V ,443.29, m(Fe II): ,5.10E-01,93 832.5    ,2
Fe I ,443.32184,3720,2.10E+07,52 019.669  ,1
Fe I ,443.37821,1230,2.62E+06,51 604.103  ,3
Fe I ,443.51486,4900,4.72E+03,23 244.838  ,1
Fe II ,443.52653,50, ,112 607.597  , 7/2 
 , , , , , 
Fe III ,443.647,26, ,132 105.12   ,2
Fe I ,443.69203,1100,2.82E+05,47 106.484  ,4
Fe I ,443.8343,417,8.50E+06,52 257.346  ,0
Fe I ,443.9634, 219bl* , ,59 204.233  ,4
Fe I ,443.9634, 219bl* ,7.90E+04,47 092.712  ,3
 , , , , , 
Fe II , ,  ,8.60E-03,31 364.4554 , 3/2 
Fe I ,443.98805,680,6.73E+04,40 894.990  ,2
Fe II ,444.0428,240, ,76 577.436  , 1/2 
Fe I ,444.0479,145,4.50E+05,51 570.097  ,3
Fe I ,444.08236,102,3.00E+06,54 449.347  ,1
 , , , , , 
Fe I ,444.0969,40, ,49 135.023  ,3
Fe III ,444.1409,9.9, ,132 080.04   ,3
Fe I ,444.1545,71, ,53 830.975  ,3
Fe I ,444.23387,13500,3.76E+06,40 231.336  ,2
Fe III ,444.2595,18, ,140 453.14   ,3
 , , , , , 
Fe I ,444.28313,1910,1.09E+05,40 052.035  ,2
Fe XXV , ,  , ,(68 446 710)     ,2
Fe I ,444.3194, 14100bl* ,1.02E+07,45 551.767  ,1
Fe I ,444.3194, 14100bl* , ,47 272.027  ,1
Fe II ,444.3327,16, ,112 987.144  , 5/2 
 , , , , , 
Fe II ,444.5255,90, ,112 876.116  , 7/2 
Fe I ,444.54712,427,2.44E+02,23 192.500  ,2
Fe II ,444.64398, 30bl(Ne) , ,114 399.170  , 3/2 
Fe I ,444.68318,760,5.38E+06,52 214.345  ,1
Fe I ,444.6896,105, ,49 108.896  ,4
 , , , , , 
Fe I ,444.71301,1780,8.91E+04,40 207.091  ,3
Fe II ,444.7497,60, ,112 876.116  , 7/2 
Fe I ,444.7717,9500,5.11E+06,40 404.518  ,1
Fe I ,444.7805,162, ,56 516.218  ,4
Fe II ,444.78054, 120bl(Fe II)* , ,72 619.499  , 5/2 
 , , , , , 
Fe II ,444.78054, 120bl(Fe II)* , ,114 806.568  , 5/2 
Fe III ,444.7807,15, ,128 371.99   ,0
Fe II ,444.85281,220, ,112 397.186  , 9/2 
Fe II ,444.88794, 1700bl(Ar) , ,113 370.112  , 1/2 
Fe II ,444.961,60,8.00E+05,86 416.370  , 7/2 
 , , , , , 
Fe I ,445.03153,760,1.15E+06,47 555.610  ,1
Fe I ,445.0767,71,2.30E+05,53 768.979  ,4
Fe II ,445.1542,90,6.90E+05,71 964.750  , 5/2 
Fe II ,445.19674,70, ,113 236.296  , 5/2 
Fe II ,445.2097, : ,5.36E-01,23 317.6351 , 5/2 
 , , , , , 
Fe II , ,  ,1.00E-02,36 126.412  , 3/2 
Fe I ,445.2609, 219bl ,8.30E+05,54 257.502  ,2
Fe I ,445.2799,214, ,43 325.964  ,3
Fe I ,445.43807,8300,3.38E+06,45 281.833  ,2
Fe I ,445.46709,209, ,51 762.076  ,2
 , , , , , 
Fe I ,445.5027,740,4.10E+06,53 747.500  ,3
Fe I ,445.63254,1150,2.06E+05,47 008.371  ,5
Fe II , ,  ,6.20E-04,30 388.5451 , 9/2 
Fe II ,445.64509,25, ,113 481.304  , 3/2 
Fe I ,445.66299,219,6.80E+05,53 739.438  ,5
 , , , , , 
Fe II ,445.7946, : ,3.18E-01,22 810.3459 , 7/2 
Fe I ,445.80799,830, ,53 747.500  ,3
Fe I , ,  ,3.00E-02,22 838.323  ,2
Fe I , ,  ,3.00E-03,22 838.323  ,2
Fe I ,445.91173,9500,2.52E+06,39 969.853  ,3
 , , , , , 
Fe I ,445.93524,550, ,56 113.887  ,5
Fe II ,445.96782,28, ,113 625.745  , 1/2 
Fe II ,446.08931,40, ,113 481.304  , 3/2 
Fe I ,446.11964,457, ,46 744.993  ,3
Fe I ,446.13726,269, ,49 951.344  ,0
 , , , , , 
Fe I ,446.16525,74000,2.95E+04,23 110.939  ,3
Fe II ,446.17108,90,5.00E+05,72 619.499  , 5/2 
Fe I ,446.197, 1450bl* ,2.31E+06,51 461.670  ,4
Fe I ,446.197, 1450bl* , ,51 762.076  ,2
Fe I ,446.2195,200, ,51 460.518  ,3
 , , , , , 
Fe I ,446.3132,25, ,47 171.531  ,0
Fe I ,446.3407,170, ,56 726.892  ,3
Fe I ,446.46872,234, ,48 531.865  ,3
Fe I ,446.47662,890,6.66E+05,46 727.074  ,2
Fe I ,446.65515,45700,1.20E+07,45 220.681  ,3
 , , , , , 
Fe I ,446.69383,510,3.20E+06,54 066.773  ,2
Fe II , ,  ,1.40E-03,30 764.4737 , 7/2 
Fe I ,446.93753,8300,1.59E+07,51 837.238  ,3
Fe II ,446.9587,70,1.90E+06,101 698.519  , 9/2 
Fe II , ,  ,3.50E-02,23 031.2829 , 3/2 
 , , , , , 
Fe II ,447.11125,40,3.80E+05,108 483.877  , 11/2 
Fe I ,447.1677,132,1.12E+02,23 244.838  ,1
Fe I ,447.2711,780, ,51 708.307  ,2
Fe II ,447.2921,60,2.50E+04,45 289.8248 , 3/2 
Fe II ,447.4903, : ,2.63E-01,23 317.6351 , 5/2 
 , , , , , 
Fe II ,447.5533,21, ,113 236.296  , 5/2 
Fe I ,447.60183,25100,1.01E+07,45 281.833  ,2
Fe I ,447.60752,8100, ,52 067.469  ,2
Fe II ,447.736,6, ,114 482.464  , 9/2 
Fe I ,447.80179,151,1.60E+04,40 052.035  ,2
 , , , , , 
Fe II , ,  ,1.28E-01,38 164.220  , 5/2 
Fe I ,447.96025,1230, ,51 630.178  ,5
Fe II ,447.9802,9, ,114 646.097  , 7/2 
Fe I ,447.99626,447, ,54 449.347  ,1
Fe I ,448.01363,1150,4.31E+05,46 889.142  ,4
 , , , , , 
Fe I ,448.0271,158, ,51 370.145  ,2
Fe I ,448.1609,540,4.50E+06,52 039.892  ,1
Fe II ,448.16475,33, ,112 607.597  , 7/2 
Fe I ,448.21696,37200,2.09E+04,23 192.500  ,2
Fe I ,448.22524,7800,2.19E+06,40 231.336  ,2
 , , , , , 
Fe V ,448.25, 16i ,9.00E-04,52 732.6    ,3
Fe I ,448.2739,850,2.30E+06,51 770.557  ,3
Fe I ,448.3777,110,1.40E+05,51 668.186  ,4
Fe I ,448.42195,4570,5.04E+06,51 350.492  ,4
Fe I ,448.56753,1700,1.10E+07,52 019.669  ,1
 , , , , , 
Fe I ,448.5972,151,5.30E+05,51 754.497  ,1
Fe I ,448.7736,110,5.80E+04,48 382.603  ,5
Fe II ,448.8081,18, ,107 459.780  , 7/2 
Fe I ,448.81328,389,1.40E+06,51 331.052  ,2
Fe II ,448.875, : ,1.63E-01,22 939.3512 , 5/2 
 , , , , , 
Fe I ,448.89066,457,9.76E+05,51 739.920  ,2
Fe II ,448.9185,140,6.00E+04,45 079.9019 , 5/2 
Fe I ,448.97388,12900,1.19E+04,23 244.838  ,1
Fe I ,449.00837,2240,3.30E+06,46 600.818  ,1
Fe I ,449.07597,790, ,54 066.773  ,2
 , , , , , 
Fe I ,449.08104,166, ,54 066.518  ,4
Fe II ,449.14,130,1.90E+05,45 289.8248 , 3/2 
Fe II ,449.2635, : ,8.20E-02,22 637.1950 , 9/2 
Fe I ,449.2678,107,2.60E+06,54 386.186  ,1
Fe I ,449.337,129, ,51 068.718  ,5
 , , , , , 
Fe II ,449.3525,130,9.00E+05,86 124.348  , 9/2 
Fe I ,449.40552,191, ,54 379.384  ,3
Fe I ,449.44645,240, ,46 026.971  ,6
Fe I ,449.45629,12600,3.45E+06,39 969.853  ,3
Fe I , ,  ,4.40E-02,22 946.816  ,1
 , , , , , 
Fe I , ,  ,4.00E-03,22 946.816  ,1
Fe I ,449.55677,170, ,51 294.220  ,3
Fe II ,449.56867,21, ,112 876.116  , 7/2 
Fe I ,449.59528,437,1.40E+06,51 705.014  ,2
Fe I ,449.8533,62, ,53 545.833  ,3
 , , , , , 
Fe II ,449.8712,50, ,85 495.366  , 5/2 
Fe II , ,  ,8.40E-03,36 126.412  , 3/2 
Fe I ,449.9136,110, ,58 906.436  ,4
Fe I ,450.063,141, ,58 979.823  ,2
Fe II ,450.127,32, ,112 607.597  , 7/2 
 , , , , , 
Fe II ,450.1675,15, ,108 807.527  , 5/2 
Fe I ,450.25906,620,1.20E+05,51 023.162  ,6
Fe II ,450.3932,5, ,122 946.458  , 7/2 
Fe I ,450.48303,427,2.80E+05,48 531.865  ,3
Fe I ,450.7213,79, ,47 272.027  ,1
 , , , , , 
Fe II ,450.76253,70, ,106 863.620  , 7/2 
Fe II ,450.82805,330,7.00E+05,45 206.4704 , 1/2 
Fe II ,450.9605, : ,7.40E-02,23 031.2829 , 3/2 
Fe I ,450.97339,162, ,56 207.552  ,4
Fe I , ,  ,1.00E-01,23 051.750  ,0
 , , , , , 
Fe I ,451.082,71, ,51 219.015  ,3
Fe II ,451.1417, 13bl(Ne) , ,113 230.351  , 3/2 
Fe I ,451.41836,830,4.40E+05,46 720.842  ,4
Fe I ,451.4416,129, ,58 831.230  ,3
Fe I ,451.45,257, ,53 830.975  ,3
 , , , , , 
Fe II ,451.45629,80, ,105 449.557  , 7/2 
Fe II ,451.4902, : ,7.42E-02,22 810.3459 , 7/2 
Fe I ,451.5166,89,4.40E+04,45 333.875  ,2
Fe II ,451.5254,6, ,114 470.803  , 5/2 
Fe II ,451.53344,250,2.40E+05,45 079.9019 , 5/2 
 , , , , , 
Fe I ,451.75242,1120,1.51E+06,46 901.832  ,1
Fe I ,451.84318,170,2.10E+04,48 231.280  ,5
Fe I ,451.85768,195,9.10E+03,40 052.035  ,2
Fe II ,452.02214,270,1.00E+05,44 753.8179 , 7/2 
Fe II ,452.26278, 600bl(Ne) ,8.40E+05,45 044.1916 , 3/2 
 , , , , , 
Fe I ,452.33984,245,5.20E+05,51 570.097  ,3
Fe XV , ,  ,5.80E+01,581 803      ,2
Fe XV , ,  ,2.50E-02,581 803      ,2
Fe II ,452.3912,10, ,108 642.450  , 5/2 
Fe I ,452.51365,6000, ,51 148.910  ,2
 , , , , , 
Fe I ,452.5863,60,4.70E+04,45 333.875  ,2
Fe II ,452.602,13, ,112 927.781  , 3/2 
Fe I ,452.63986,650, ,53 393.673  ,4
Fe I ,452.65605,468, ,47 177.234  ,1
Fe II ,452.65949,500, ,67 000.530  , 5/2 
 , , , , , 
Fe I ,452.77824,209,1.30E+05,48 304.643  ,2
Fe II ,452.8385, : ,5.03E-02,22 939.3512 , 5/2 
Fe I ,452.8479,135, ,58 762.456  ,3
Fe I ,452.86139,65000,5.44E+06,39 625.804  ,4
Fe I ,452.87567,710,3.69E+05,48 702.535  ,4
 , , , , , 
Fe I ,452.88207,200, ,46 410.381  ,1
Fe I ,452.95508,680, ,53 393.673  ,4
Fe I ,452.96758,1620, , ,  
Fe II ,452.97503,33, ,108 613.977  , 5/2 
Fe I ,453.11478,13800,2.52E+05,34 039.516  ,4
 , , , , , 
Fe I ,453.163, 760bl* , ,47 960.940  ,4
Fe I ,453.163, 760bl* , ,51 373.910  ,5
Fe II , ,  ,2.00E-02,23 031.2829 , 3/2 
Fe I ,453.3956,63, ,45 833.223  ,4
Fe II ,453.4166,60,2.30E+04,45 079.9019 , 5/2 
 , , , , , 
Fe II ,453.5692,16, ,114 157.716  , 11/2 
Fe I ,453.6486,71, ,51 409.124  ,4
Fe II ,453.6535,14,1.60E+05,108 804.711  , 7/2 
Fe I ,453.7673, 251bl ,3.10E+04,48 382.603  ,5
Fe I ,453.88363,178, ,53 830.975  ,3
 , , , , , 
Fe I ,454.06719,145, ,46 135.820  ,5
Fe I ,454.13138,98, ,48 238.847  ,2
Fe II ,454.1518,90,9.00E+04,45 044.1916 , 3/2 
Fe I ,454.19413,120,3.00E+04,48 361.882  ,4
Fe II ,454.1985,9, ,112 397.186  , 9/2 
 , , , , , 
Fe I ,454.24118,295,4.50E+05,51 365.311  ,3
Fe I ,454.26983,162, ,51 739.920  ,2
Fe I ,454.70166,148,1.50E+04,34 547.211  ,2
Fe I ,454.78471,7800,4.48E+06,50 586.878  ,3
Fe II ,454.81187,70, ,107 165.760  , 7/2 
 , , , , , 
Fe II ,454.9197,150,9.00E+05,69 650.481  , 5/2 
Fe II ,454.9256,90, ,83 308.241  , 5/2 
Fe II ,454.94665, 1400bl(Fe I) ,1.00E+06,44 784.7859 , 5/2 
Fe I ,454.94666,830, ,53 281.689  ,5
Fe II ,455.06377,21, ,112 607.597  , 7/2 
 , , , , , 
Fe I ,455.16467,204,3.30E+05,53 768.979  ,4
Fe I ,455.25413,1740, , ,  
Fe I ,455.44509,186,4.70E+04,45 061.329  ,3
Fe II ,455.58881,400,2.30E+05,44 753.8179 , 7/2 
Fe I ,455.61256,4070,1.05E+07,50 998.645  ,2
 , , , , , 
Fe I ,455.69247,71,1.40E+05,48 163.446  ,2
Fe II ,455.794,12, ,105 238.815  , 5/2 
Fe I ,455.81051,209, ,51 304.604  ,4
Fe I ,456.00878,380,4.70E+05,50 979.579  ,4
Fe I ,456.1414,120, ,57 528.512  ,2
 , , , , , 
Fe I ,456.46983,209, ,51 370.145  ,2
Fe I ,456.48211,269, ,46 672.540  ,0
Fe I ,456.53099,178,2.20E+05,48 304.643  ,2
Fe I ,456.54112,100, ,57 754.099  ,1
Fe I ,456.56616,427,4.00E+05,48 036.673  ,2
 , , , , , 
Fe I ,456.65142,398,4.48E+05,48 516.138  ,1
Fe I ,456.68665,129, ,56 673.145  ,4
Fe I ,456.69882,71,5.90E+05,49 433.131  ,2
Fe I ,456.8602,40, ,53 568.751  ,2
Fe I ,456.87629,347, ,48 221.324  ,1
 , , , , , 
Fe I ,456.88389,275, ,51 201.289  ,2
Fe I ,456.9055, 1020bl , ,48 231.280  ,5
Fe XVII , ,  ,3.50E-03,6 486 400      ,2
Fe III ,456.9722,100, ,139 827.18   ,4
Fe III ,457.0341,59, ,131 445.12   ,2
 , , , , , 
Fe I ,457.14375,76,2.80E+04,45 061.329  ,3
Fe II ,457.3341,10, ,110 016.915  , 5/2 
Fe I ,457.42159,309,1.60E+05,47 755.537  ,3
Fe I ,457.47176,295,8.20E+04,40 231.336  ,2
Fe I ,457.57799,269, ,48 475.686  ,3
 , , , , , 
Fe II ,457.6328, 100* , ,113 934.512  , 5/2 
Fe II ,457.6328, 100* ,6.40E+04,44 784.7859 , 5/2 
Fe II , ,  ,6.26E-01,38 214.503  , 3/2 
Fe I ,457.6517,79, ,51 201.289  ,2
Fe II ,457.7483,12, ,113 956.532  , 9/2 
 , , , , , 
Fe I ,457.9066,20, ,48 238.847  ,2
Fe I ,457.9326, 209bl , ,44 677.006  ,4
Fe I ,458.0459,30, ,44 664.075  ,2
Fe I ,458.05771,245,4.00E+05,51 294.220  ,3
Fe I ,458.1191,60, ,58 979.823  ,2
 , , , , , 
Fe II ,458.1268, 80bl(Fe II)* , ,71 964.750  , 5/2 
Fe II ,458.1268, 80bl(Fe II)* , ,107 006.684  , 9/2 
Fe I ,458.1508, 1550bl ,5.90E+05,47 960.940  ,4
Fe II ,458.2835,80,3.40E+04,44 753.8179 , 7/2 
Fe I ,458.2939,60, ,44 760.746  ,1
 , , , , , 
Fe I ,458.37205,112, ,46 901.832  ,1
Fe II ,458.38292,1500,7.20E+05,44 446.9051 , 7/2 
Fe I ,458.4716,282, ,50 861.816  ,3
Fe I ,458.48189,407, ,50 861.327  ,2
Fe IX ,458.53,  , ,455 612.2    ,3
 , , , , , 
Fe I ,458.534,30, ,58 965.275  ,4
Fe I ,458.6231,182, ,57 055.616  ,3
Fe II , ,  ,4.04E-02,38 164.220  , 5/2 
Fe I ,458.6992,71, ,45 913.497  ,3
Fe I ,458.71273,1510,6.45E+05,50 613.983  ,4
 , , , , , 
Fe I ,458.772,89,7.90E+05,53 925.200  ,1
Fe I ,459.0789,155, ,57 155.857  ,4
Fe I ,459.26508,4570,1.61E+05,34 328.752  ,3
Fe I ,459.3525, 120bl ,5.80E+05,53 568.751  ,2
Fe I ,459.52077,204, ,51 068.718  ,5
 , , , , , 
Fe I ,459.5358, 1860bl ,5.01E+05,48 382.603  ,5
Fe II ,459.5868,110, ,79 245.926  , 3/2 
Fe II ,459.60084,180,5.80E+05,71 964.750  , 5/2 
Fe I ,459.60602,680,1.50E+06,50 807.997  ,4
Fe I ,459.64152,117,2.30E+05,51 219.015  ,3
 , , , , , 
Fe I ,459.65745,166, ,47 855.143  ,6
Fe I ,459.7251,50, ,57 125.250  ,4
Fe I ,459.73799,129, ,58 512.387  ,2
Fe I ,459.77451,110, ,58 906.436  ,4
Fe I ,459.78711,191, ,57 510.666  ,3
 , , , , , 
Fe I ,459.81168,1620, ,48 221.324  ,1
Fe IV , ,  ,9.10E-02,82 897.3    , 7/2 
Fe IV , ,  ,5.50E-02,82 897.3    , 7/2 
Fe I ,459.8367,50, ,53 545.833  ,3
Fe II ,459.84853,120,1.10E+06,84 685.245  , 7/2 
 , , , , , 
Fe I ,459.874,71, ,51 207.998  ,1
Fe I ,459.9741,71, ,48 361.882  ,4
Fe I ,459.98422,437, ,56 516.218  ,4
Fe I ,460.09337,372,7.79E+04,47 834.550  ,5
Fe I ,460.20007,760,7.36E+04,34 692.148  ,1
 , , , , , 
Fe I ,460.29407,12900,1.72E+05,33 695.397  ,5
Fe I ,460.33421,95,5.30E+04,44 664.075  ,2
Fe I ,460.39486,100,5.80E+04,45 833.223  ,4
Fe I ,460.45572,275, ,57 790.909  ,2
Fe I ,460.48512,117, ,51 023.162  ,6
 , , , , , 
Fe I ,460.55875,204, ,56 550.634  ,5
Fe III ,460.713,  ,4.10E-02,21 699.79   ,3
Fe I ,460.7647, 2690bl* , ,53 830.975  ,3
Fe I ,460.7647, 2690bl* , ,48 036.673  ,2
Fe I ,461.1064,89, ,48 304.643  ,2
 , , , , , 
Fe I ,461.11846,145,6.64E+04,44 677.006  ,4
Fe I ,461.12786,4170, ,51 148.910  ,2
Fe I ,461.32024,1450,2.50E+06,48 221.324  ,1
Fe I ,461.3903,79, ,59 077.084  ,1
Fe I ,461.42051,145,2.80E+05,48 289.871  ,1
 , , , , , 
Fe I ,461.55623,138, ,58 600.344  ,3
Fe I ,461.87574,1660,1.36E+05,45 428.402  ,4
Fe IV , ,  ,2.20E-01,82 897.3    , 7/2 
Fe I ,461.92877,2450,5.20E+06,50 698.620  ,2
Fe IV , ,  ,1.00E-01,82 894.9    , 9/2 
 , , , , , 
Fe IV , ,  ,5.80E-02,82 894.9    , 9/2 
Fe II ,462.0513,60,2.50E+04,44 446.9051 , 7/2 
Fe I ,462.5045,3470, ,47 755.537  ,3
Fe I ,462.75464,234, ,48 231.280  ,5
Fe II ,462.8779,50,1.00E+06,84 870.911  , 5/2 
 , , , , , 
Fe II ,462.93317,350,1.70E+05,44 232.5398 , 9/2 
Fe I ,463.012,830,1.15E+05,39 969.853  ,3
Fe II , ,  ,7.10E-03,21 581.6151 , 9/2 
Fe I ,463.28201,324, ,51 048.107  ,1
Fe I ,463.29114,1510,7.59E+04,34 547.211  ,2
 , , , , , 
Fe II ,463.37554, 20bl(Fe I) , ,110 428.305  , 5/2 
Fe I ,463.3756, 89bl ,4.70E+04,45 913.497  ,3
Fe I ,463.47121,129, ,58 979.823  ,2
Fe II ,463.53177,220,1.00E+06,69 606.567  , 7/2 
Fe I ,463.5617,89,1.00E+04,44 677.006  ,4
 , , , , , 
Fe I ,463.58459,870,2.72E+05,44 511.812  ,2
Fe I ,463.667,110, ,46 135.820  ,5
Fe I ,463.7503,2950,2.80E+06,48 036.673  ,2
Fe I ,463.801, 2450bl ,3.37E+06,50 611.261  ,3
Fe I ,463.96598,219, ,58 710.047  ,3
 , , , , , 
Fe II ,463.9674, : ,6.40E-01,22 409.8178 , 1/2 
Fe II ,464.0802, 28bl(Fe II)* , ,124 582.373  , 15/2 
Fe II ,464.0802, 28bl(Fe II)* ,7.10E+05,83 713.583  , 7/2 
Fe I ,464.34631,1410,4.41E+06,50 998.645  ,2
Fe II ,464.4111,12, ,113 370.112  , 1/2 
 , , , , , 
Fe II ,464.6816, 70bl(Ne) , ,85 462.907  , 7/2 
Fe I ,464.71788,174, ,58 921.963  ,2
Fe I ,464.74339,16200,1.25E+06,45 294.846  ,5
Fe I ,464.8977,132, ,47 855.143  ,6
Fe I ,464.98162,219,6.40E+04,47 606.114  ,5
 , , , , , 
Fe I ,465.349,79, ,29 469.024  ,2
Fe I ,465.4498,3020,5.64E+04,34 039.516  ,4
Fe I ,465.4605, 1740bl ,3.68E+06,50 534.397  ,3
Fe I ,465.46283,3630, ,47 377.955  ,4
Fe I ,465.6457,170, ,56 726.892  ,3
 , , , , , 
Fe II ,465.6981,40,1.40E+04,44 784.7859 , 5/2 
Fe I ,465.75845,170,1.50E+05,44 411.160  ,1
Fe III ,465.81,  ,4.30E-01,21 461.92   ,4
Fe I ,465.82944,123,3.50E+04,47 812.118  ,4
Fe I ,466.0431,110, ,57 218.827  ,3
 , , , , , 
Fe I ,466.1319,30, ,44 285.454  ,2
Fe I ,466.15341,158,3.30E+06,58 213.124  ,2
Fe I ,466.1876,151, ,58 965.752  ,1
Fe I ,466.19699,1100,1.38E+05,45 562.974  ,3
Fe II ,466.2027,6, ,110 167.303  , 7/2 
 , , , , , 
Fe I ,466.31779,195,4.30E+05,50 043.213  ,1
Fe II , ,  ,1.99E-01,22 409.8178 , 1/2 
Fe I ,466.4718,110, ,44 378.342  ,1
Fe I ,466.6111,100, ,56 207.552  ,4
Fe II ,466.6744,60,1.30E+04,44 232.5398 , 9/2 
 , , , , , 
Fe III ,466.703, : ,2.60E-02,21 857.08   ,2
Fe I ,466.74528,5400,6.03E+06,50 475.288  ,4
Fe I ,466.80613,380, ,51 148.910  ,2
Fe I ,466.81341,5500, ,47 755.537  ,3
Fe I ,466.91708,1230,6.27E+06,50 880.102  ,1
 , , , , , 
Fe II ,467.017,16,3.00E+03,42 237.0575 , 7/2 
Fe I ,467.1414,60, ,58 921.963  ,2
Fe I ,467.283,110, ,34 362.873  ,1
Fe I ,467.31633,1380,3.81E+06,50 861.816  ,3
Fe I ,467.32697,229, ,50 861.327  ,2
 , , , , , 
Fe I ,467.46474,120,1.20E+03,33 946.933  ,2
Fe I ,467.5096,145, ,54 479.902  ,4
Fe I ,467.7589,79, ,54 879.683  ,2
Fe I ,467.88455,6200,4.97E+06,50 423.137  ,4
Fe I ,467.9224, 302bl* , ,58 132.081  ,3
 , , , , , 
Fe I ,467.9224, 302bl* ,1.29E+05,47 590.048  ,4
Fe I ,468.02945,269,7.32E+03,34 328.752  ,3
Fe I ,468.04669,170,1.90E+05,44 411.160  ,1
Fe I ,468.055,126, ,58 334.613  ,4
Fe II ,468.2065,6, ,105 220.610  , 7/2 
 , , , , , 
Fe I ,468.21108,234, ,58 118.875  ,4
Fe I ,468.25601,129,3.70E+04,45 061.329  ,3
