Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Mg II ,266.0755,8,3.81E+07,109 062.35  , 7/2 ,,,,,,,,,,,,,
Mg II , ,  ,2.54E+06,109 062.32  , 5/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg II ,266.0817,8,3.56E+07,109 062.32  , 5/2 ,,,,,,,,,,,,,
Mg IX , ,  ,5.80E+05,1 631 170     ,2,,,,,,,,,,,,,
Mg VI , ,  ,4.04E+05,1 287 040     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,8.07E+05,1 287 040     , 1/2 ,,,,,,,,,,,,,
Mg IX , ,  ,4.03E+06,1 816 210     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,266.8124,6, ,59 318.793 ,1,,,,,,,,,,,,,
Mg VIII , ,  ,9.32E+05,1 550 560     , 3/2 ,,,,,,,,,,,,,
Mg I ,266.9553,8, ,59 318.775 ,2,,,,,,,,,,,,,
Mg IV , ,  ,7.95E-01,582 578.4   , 3/2 ,,,,,,,,,,,,,
Mg IX , ,  ,2.87E+05,1 631 040     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg IV , ,  ,2.44E-01,582 562.4   , 5/2 ,,,,,,,,,,,,,
Mg I ,267.246,10, ,59 318.764 ,3,,,,,,,,,,,,,
Mg VIII , ,  ,4.23E+06,1 647 880     , 1/2 ,,,,,,,,,,,,,
Mg VIII , ,  ,2.11E+06,1 647 880     , 1/2 ,,,,,,,,,,,,,
Mg I ,269.3723,3, ,58 962.739 ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I ,269.5181,5, ,58 962.739 ,1,,,,,,,,,,,,,
Mg I ,269.8145,6, ,58 962.739 ,1,,,,,,,,,,,,,
Mg VIII , ,  ,3.56E+05,1 549 990     , 1/2 ,,,,,,,,,,,,,
Mg V , ,  ,3.98E+00,764 628     ,1,,,,,,,,,,,,,
Mg V , ,  ,1.35E+00,764 628     ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VI , ,  ,1.54E+06,1 318 670?    , 5/2 ,,,,,,,,,,,,,
Mg IV , ,  ,1.71E-01,582 578.4   , 3/2 ,,,,,,,,,,,,,
Mg I ,273.1993,8,6.97E+06,58 442.874 ,1,,,,,,,,,,,,,
Mg I , ,  ,5.21E+06,58 442.874 ,1,,,,,,,,,,,,,
Mg I ,273.3493,10,9.37E+06,58 442.853 ,2,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg I , ,  ,3.46E+05,58 442.874 ,1,,,,,,,,,,,,,
Mg I , ,  ,3.12E+06,58 442.853 ,2,,,,,,,,,,,,,
Mg I ,273.6542,12,1.25E+07,58 442.843 ,3,,,,,,,,,,,,,
Mg IX , ,  ,3.72E+06,1 815 220     ,2,,,,,,,,,,,,,
Mg IV , ,  ,1.54E+06,681 023.3   , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Mg VIII , ,  ,1.70E+05,1 550 560     , 3/2 ,,,,,,,,,,,,,
Mg VI , ,  ,6.43E+05,1 318 670?    , 5/2 ,,,,,,,,,,,,,
