Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
Ti II ,228.44, 0: , ,52 471.895  , 5/2 ,,,,,,,,,,,,,,
Ti II ,228.48196,6, ,76 285.981  , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,228.521, 2: , ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti II ,228.536381,35, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,
Ti II ,228.5552,4, ,83 666.406  , 3/2 ,,,,,,,,,,,,,,
Ti II ,228.610532,69, ,76 496.2220 , 9/2 ,,,,,,,,,,,,,,
Ti II ,228.61816,9, ,52 471.895  , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,228.635, 0: , ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti II ,228.71737,11, ,76 311.242  , 5/2 ,,,,,,,,,,,,,,
Ti II ,228.74479,12, ,74 910.8726 , 7/2 ,,,,,,,,,,,,,,
Ti II ,228.89791,6, ,76 441.3150 , 7/2 ,,,,,,,,,,,,,,
Ti II ,228.93797, 11bl , ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,229.03972,7, ,76 345.1973 , 7/2 ,,,,,,,,,,,,,,
Ti II ,229.135, 0: , ,52 339.242  , 1/2 ,,,,,,,,,,,,,,
Ti II ,229.16, 2: , ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
Ti II ,229.17536,4, ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti II ,229.18, : , ,56 249.2448 , 3/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti II ,229.18545,5, ,52 329.889  , 3/2 ,,,,,,,,,,,,,,
Ti II ,229.356, : , ,52 705.2416 , 7/2 ,,,,,,,,,,,,,,
Ti II ,229.35887,5, ,83 661.0179 , 5/2 ,,,,,,,,,,,,,,
Ti I ,229.3747,8, ,43 583.355  ,3,,,,,,,,,,,,,,
Ti II ,229.398, 2: , ,53 554.9903 , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Ti I ,229.4205,8, ,43 744.793  ,4,,,,,,,,,,,,,,
Ti II ,229.432, 2: , ,53 597.2664 , 3/2 ,,,,,,,,,,,,,,
Ti II ,229.458, 1: , ,56 326.1371 , 5/2 ,,,,,,,,,,,,,,
