Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,239.0452,30, , ,  ,,,,,,,,,,,,,,
Na II ,239.2324,35, , ,  ,,,,,,,,,,,,,,
Na II ,239.3275, 130bl* , ,372 407.9     ,2,,,,,,,,,,,,,,
Na II ,239.3275, 130bl* , ,372 407.6     ,1,,,,,,,,,,,,,,
Na III ,239.3589,9,2.26E+07,440 940.20    , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na II ,239.3612,350, , ,  ,,,,,,,,,,,,,,
Na VII , ,  ,1.06E+06,1 251 670       , 3/2 ,,,,,,,,,,,,,,
Na III ,239.4032,17,2.80E+08,440 940.20    , 5/2 ,,,,,,,,,,,,,,
Na II ,239.5642,30, ,374 532.1     ," 3,4 ",,,,,,,,,,,,,,
Na VII , ,  ,1.73E+07,1 390 450?      , 5/2 ,,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,,
Na VII , ,  ,1.67E+07,1 390 450?      , 3/2 ,,,,,,,,,,,,,,
Na VII , ,  ,1.85E+06,1 390 450?      , 3/2 ,,,,,,,,,,,,,,
