Ion, Observed , Rel. , Aki, Ek ,J,,,,,,,,,,,,,
Si X , ,  ,4.93E+06,2 066 750     , 3/2 ,,,,,,,,,,,,,
Si III , ,  ,8.85E-03,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,1.34E-02,165 765.00  ,2,,,,,,,,,,,,,
Si III , ,  ,5.47E+04,245 086.58  ,3,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,1.94E+06,245 086.58  ,3,,,,,,,,,,,,,
Si III , ,  ,1.20E+06,240 549.77  ,2,,,,,,,,,,,,,
Si III ,281.711,9,2.22E+07,245 086.58  ,3,,,,,,,,,,,,,
Si III , ,  ,2.66E+06,244 866.05  ,2,,,,,,,,,,,,,
Si III , ,  ,3.07E+07,249 857.26  ,0,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III ,283.149,7,2.12E+07,244 866.05  ,2,,,,,,,,,,,,,
Si III ,283.962,5,2.37E+07,244 736.93  ,1,,,,,,,,,,,,,
Si VI , ,  ,8.35E+02,1 182 894     , 1/2 ,,,,,,,,,,,,,
Si III , ,  ,4.02E+07,249 766.19  ,1,,,,,,,,,,,,,
Si III , ,  ,2.41E+07,249 766.19  ,1,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si III , ,  ,8.04E+06,249 766.19  ,1,,,,,,,,,,,,,
Si XI , ,  ,5.23E+06,2 547 100     ,2,,,,,,,,,,,,,
Si I ,288.1579,1000,2.17E+08,40 991.884 ,1,,,,,,,,,,,,,
Si II , ,  ,7.08E+05,113 976.72  , 3/2 ,,,,,,,,,,,,,
Si II , ,  ,8.38E+06,113 962.08  , 1/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II ,288.751, 10w ,6.39E+06,113 976.72  , 3/2 ,,,,,,,,,,,,,
Si IV ,289.513, 3w , , ,  ,,,,,,,,,,,,,
Si II ,290.428,300,3.58E+07,113 760.32  , 5/2 ,,,,,,,,,,,,,
Si IV ,290.447, 2w , , ,  ,,,,,,,,,,,,,
Si VI , ,  ,4.35E+03,1 182 311     , 3/2 ,,,,,,,,,,,,,
 , , , , , ,,,,,,,,,,,,,
Si II , ,  ,2.55E+06,113 760.32  , 5/2 ,,,,,,,,,,,,,
Si II ,290.569,500,3.83E+07,113 760.15  , 7/2 ,,,,,,,,,,,,,
